0,total_value
간다,-0.4285714285714286
간다고,-0.46478873239436624
간다는,-0.5384615384615385
간단,0.7180527383367139
간단히,0.6018518518518519
간당간당,-0.3636363636363636
간략,0.7435897435897436
간만에,0.5061728395061729
간섭,-0.6923076923076923
간식,0.6057774001699234
간식거리,0.8181818181818181
간신히,-0.6697247706422018
간장,-0.3173076923076923
간절,0.4385964912280702
간접,-0.4545454545454546
간지,0.32631578947368417
간지러운,-0.4166666666666667
간지러움,-0.6153846153846154
간지러워,-0.7037037037037037
간지러워서,-0.7777777777777777
간지럽,-0.6323529411764706
간직,0.0
간질간질,-0.375
간편,0.8445658773527627
간편히,0.8139534883720929
간혹,0.31147540983606553
갇,-0.1940298507462686
갈,0.009606147934678233
갈고,0.39999999999999997
갈기,-0.22222222222222227
갈까,0.3333333333333333
갈도,-0.07692307692307687
갈등,0.07692307692307687
갈라,-0.7419354838709677
갈라져,-0.8823529411764706
갈라져서,-0.7407407407407407
갈라졌,-0.631578947368421
갈라지,-0.6899224806201549
갈라진,-0.6571428571428573
갈라짐,-0.5757575757575757
갈려,-0.7209302325581395
갈려고,-0.0714285714285714
갈려서,-0.37931034482758624
갈리,-0.3541666666666667
갈릭,0.12903225806451618
갈린,-0.411764705882353
갈릴,-0.14285714285714285
갈매기살,-0.22222222222222227
갈변,-0.6363636363636365
갈비,-0.32
갈비뼈,-0.4285714285714286
갈비찜,-0.05882352941176472
갈색,-0.5096774193548388
갈수록,-0.5910780669144982
갈아끼우,0.14285714285714285
갈아먹,0.0790697674418605
갈아입,-0.40540540540540543
갈아주,0.5032679738562091
갈아줄,0.368421052631579
갈아줘야,0.35714285714285715
갈아타,0.1774193548387097
갈아탄,0.6923076923076923
갈아탈,0.1538461538461538
갈아탔,0.5726495726495726
갈이,-0.5789473684210527
갈일,0.6000000000000001
갈증,0.6666666666666667
갈지,0.3428571428571428
갈치,-0.9259259259259258
감,0.1433333333333333
감각,0.7037037037037037
감개,0.3333333333333333
감겨,-0.5707317073170732
감겨서,-0.2571428571428571
감겨져,-0.7142857142857142
감격,0.875
감겼,-0.6363636363636365
감고,-0.25
감귤,-0.3636363636363636
감기,0.1973244147157191
감긴,-0.5454545454545454
감김,-0.5384615384615385
감당,-0.1683168316831683
감도,-0.05882352941176472
감동,0.8515463917525774
감량,0.4444444444444444
감미료,-0.07692307692307687
감바,0.41304347826086957
감사,0.8876766808190466
감사용,0.9333333333333333
감사히,0.8716981132075472
감상,0.368421052631579
감성,0.21428571428571425
감소,0.2173913043478261
감수,-0.1977401129943503
감싸,-0.018404907975460072
감싼,-0.3846153846153846
감안,-0.4225352112676057
감이,0.09090909090909088
감자,-0.328
감자탕,0.35294117647058826
감자튀김,0.47368421052631576
감점,-0.2631578947368421
감정,-0.6363636363636365
감지,-0.037037037037037035
감촉,0.5544554455445545
감추,-0.12000000000000005
감출,-0.5384615384615385
감춰,-0.07692307692307687
감칠맛,-0.14999999999999997
감탄,0.3194444444444444
감히,0.0
갑,0.43490304709141275
갑갑,-0.03448275862068967
갑니까,-0.8888888888888888
갑니다,-0.11773049645390071
갑자기,-0.4003139717425432
값,-0.4542020774315392
값싸,0.6206896551724137
값싼,-0.31578947368421056
값어치,-0.6483516483516483
갓,-0.3791348600508906
갓김치,-0.7333333333333334
갔,-0.49465391108610013
갔다오,-0.5172413793103448
갔다왔,-0.05555555555555558
갔었,0.23809523809523814
갔으면,-0.5294117647058822
강,0.17525773195876293
강남,-0.6363636363636365
강도,-0.08771929824561409
강력,0.3495575221238938
강력히,0.0
강사,0.30000000000000004
강색,0.1063829787234043
강아지,0.27376425855513303
강약,0.36000000000000004
강요,-0.5
강원도,0.11111111111111116
강의,0.5714285714285714
강제,-0.32710280373831774
강조,-0.36170212765957444
강지,-0.6363636363636365
강철,-0.3333333333333333
강추,0.9379956741167987
강풍,-0.5884773662551441
강하,0.04116865869853914
강한,0.04827586206896556
강한지,-0.4285714285714286
강할,0.0
강함,-0.42105263157894735
강해,-0.15151515151515155
강해서,-0.20463320463320467
강해요,-0.47089947089947093
강했,-0.14285714285714285
강화,-0.2735042735042735
갖,-0.2545454545454546
갖다대,-0.76
갖추,-0.10000000000000003
갖춘,0.5714285714285714
갖춰,0.14285714285714285
같,-0.0015078082929456116
같이,-0.003293084522502765
갚,0.588235294117647
개,-0.32349617813226983
개개,-0.6000000000000001
개고,-0.6363636363636365
개고생,-0.8518518518518519
개구,-0.08333333333333331
개구리,-0.037037037037037035
개기름,-0.14285714285714285
